v0001anomes	c7	ct	cnt	pomif	poinf	taxami	taxasc
23/2012/6	39.66	28.19	65.49	96.34	93.94	10.54	17.89
23/2012/7	39.44	12.81	62.53	94.94	93.33	9.55	22.27
23/2012/8	38.66	15.78	68.18	98.51	94.59	12.22	22.13
23/2012/9	37.85	18.1	63.96	90	83.87	9.77	17.33
23/2012/11	42.63	4.05	63.29	96.92	91.43	11.11	17.78
23/2013/3	40.16	4.85	73.16	87.14	97.3	11.71	16.46
23/2013/4	43.87	7.34	94.98	92	85.29	10.46	19.37
23/2013/5	42.99	17.87	69.99	92.47	80.56	10.39	18.75
23/2013/6	41.6	20.69	76.36	95.45	64.71	10.59	20.86
23/2013/7	43.28	15.94	39.74	89.9	80.49	12.14	24.28
24/2012/1	52.01	54.9	9.08	92	22.22	9.63	16.04
24/2012/3	50.78	55.2	5.84	100	44.44	8.36	26.02
24/2012/4	52.42	49.63	3.77	88	41.67	10.81	23.42
24/2012/5	54.23	59.46	3.07	94.12	33.33	8.41	21.50
24/2012/8	53.66	50.46	0.48	92	30.77	13.18	26.37
24/2012/10	57.58	79.89	12.82	84.21	40	15.35	18.42
24/2012/11	56.29	69.6	18.23	88.89	13.33	15.84	12.67
24/2013/1	55.88	48.14	16.92	94.12	72.73	10.93	17.89
24/2013/2	54.37	15.9	40.88	100	60	21.95	17.56
24/2013/3	53.35	16.47	19.04	95.45	53.85	12.37	19.03
24/2013/6	54.49	2.75	7.64	100	22.22	8.91	14.85
24/2013/7	56.83	0	4.84	92.31	50	11.89	13.88
25/2011/9	56.02	115.82	97.08	100	100	7.15	12.26
25/2012/1	60.74	123.49	55.38	100	100	14.16	15.25
25/2012/2	57.3	124.62	135.83	100	91.67	13.9	17.38
25/2012/3	60.95	134.3	76.34	93.33	100	12.82	18.74
25/2012/4	61.14	112.23	148.61	100	100	13.31	12.28
25/2012/5	60.9	116.07	155.50	100	90	9.55	11.46
25/2012/6	61.6	112.8	45.17	97.3	100	22.39	14.93
25/2012/7	60.87	121.96	143.62	96	93.75	15.79	15.79
25/2012/8	62.49	109.58	190.99	95.65	100	11.26	9.01
25/2012/9	63.63	126.35	160.84	100	88.24	17.89	8.42
25/2012/10	63.37	118.95	174.17	100	90	10.87	7.61
25/2012/11	68.37	132.72	178.71	87.5	92.86	15.45	12.14
25/2012/12	63.58	134.77	143.61	74.07	80	11.52	11.52
25/2013/2	60	132.83	172.84	93.75	91.67	14.83	13.60
25/2013/3	64.28	140.54	157.25	92	100	6.19	14.43
25/2013/4	63.71	124.23	175.04	92.59	92.31	12.78	6.88
25/2013/5	62.93	117.21	161.60	89.47	92.86	13.65	9.75
25/2013/6	62.96	113.26	129.07	77.42	100	12.45	11.49
25/2013/7	63.79	111.49	157.93	80	100	7.91	9.89
26/2012/1	54.71	0	108.07	100	100	11.62	32.08
26/2012/11	60.01	0.05	120.61	97.67	96.77	17.5	18.07
26/2013/1	61.65	0	80.77	100	100	10.6	26.25
26/2013/3	56.81	0	125.77	93.33	96.3	13.32	27.13
26/2013/5	58.66	0	71.93	98.04	100	12.79	28.78
26/2013/7	57.43	10.56	57.99	100	100	12.3	24.08
27/2011/12	46.45	24.59	56.40	52.17	35	17.01	13.61
27/2012/1	45.83	21.17	49.94	79.41	35.71	12.08	22.43
27/2012/2	50.3	19.07	35.80	70.27	29.41	14.32	24.43
27/2012/3	44.73	31.68	25.54	74.29	40	7.52	15.79
27/2012/5	48.1	10.02	35.53	81.08	26.92	18.45	16.32
27/2012/6	49.25	9.72	26.23	58.82	25	12.44	25.66
27/2012/7	45.33	6.38	23.47	40.63	21.74	17.16	21.64
27/2012/9	48.5	18.94	22.06	50	6.67	12.22	15.48
27/2012/10	46.45	15.81	22.23	68.57	29.17	19.32	23.35
27/2013/1	46.55	16.67	9.49	85.19	40	15.99	26.38
27/2013/3	40.61	11.97	25.21	83.87	42.86	10.43	25.34
27/2013/5	43.84	12.94	25.70	93.18	42.11	13.43	19.79
28/2012/3	55.04	24.01	959.60	93.33	100	15.08	17.40
28/2012/7	55.63	0	561.73	87.5	87.5	9.78	39.12
28/2012/8	59.17	78.97	493.53	77.78	100	13.68	27.36
28/2012/9	54.73	90.17	757.37	89.47	100	15.65	32.72
28/2012/11	57.2	75.6	418.85	90.91	86.67	20.69	27.59
28/2013/3	57.22	131.23	367.44	87.5	100	17.95	35.90
28/2013/5	56.1	0	233.33	85.71	100	17.14	36.57
28/2013/7	52.77	0	394.85	93.75	91.67	14.91	27.33
29/2012/1	50.04	3	72.79	64.37	20.41	16.6	6.44
29/2012/2	46.78	2.07	54.28	56.84	18.33	20.16	5.71
29/2012/3	45.36	3.06	73.86	53.13	24.56	16.38	8.34
29/2012/6	47.41	13.45	81.36	45.98	13.64	13.41	8.23
29/2012/7	44.06	9.84	81.28	51.52	12.5	15.35	10.87
29/2012/8	44.71	8.63	84.23	40.21	9.26	18.64	8.97
29/2012/9	46.57	2.14	60.59	32.18	15.56	15.83	5.98
29/2012/10	49.1	12.31	70.03	46.34	18.6	14.39	10.71
29/2012/12	47.3	20.19	40.83	39.51	7.02	18.92	11.28
29/2013/1	45.24	29.11	74.38	70.53	14.29	20.24	13.17
29/2013/5	46.49	5.23	87.84	58.75	25.42	17.05	13.29
31/2012/2	72.01	60.41	0.81	98.41	52.17	8.69	6.80
31/2012/3	74.02	43.01	1.30	89.66	47.73	14.65	6.66
31/2012/4	73.89	40.83	1.11	95.16	80	9.09	6.18
31/2012/5	73.21	70.27	1.04	97.62	66.67	10.76	5.74
31/2012/6	73.59	64.59	0.75	91.04	53.33	11.46	6.88
31/2012/7	74.59	58.31	1.12	94.59	56	9.38	8.63
31/2012/8	73.76	64.3	0.74	94.44	56.52	8.64	9.01
31/2012/10	76.19	58.6	1.00	77.42	53.33	11.32	9.81
31/2012/12	75.06	54.93	0.72	92.21	33.33	10.42	6.56
31/2013/1	76.45	57.99	0.69	98.63	64.29	10.87	5.05
31/2013/2	75.34	54.52	0.43	100	70.83	9.67	10.07
31/2013/3	74.18	54.81	0.84	100	70	6.92	7.26
31/2013/4	76.59	52.21	0.79	100	75	11.84	8.88
31/2013/5	74.32	58.18	0.84	100	100	10.61	10.25
31/2013/6	72.56	49.33	1.20	96.88	100	8.95	8.95
31/2013/7	72.77	58.11	0.55	100	100	10.94	10.56
32/2012/1	77.11	11.72	0.00	100	100	2.78	13.89
32/2012/2	78.33	0	0.00	100	100	12.99	18.18
32/2012/3	71.17	15.06	0.00	100	100	9.15	18.31
32/2012/6	77.23	15.63	0.00	100	0	0	19.02
32/2012/7	75.82	15.49	0.00	100	100	12.35	12.35
32/2012/9	75.45	0	0.00	100	100	8.24	30.22
32/2012/11	72.18	38.29	0.00	100	100	6.01	39.04
